image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,3,0.905189,car,car,True
drive_022,2,5,0.892581,car,car,True
drive_022,3,4,0.965408,car,car,True
drive_022,4,1,0.975326,bus,bus,True
drive_022,5,2,0.964316,truck,truck,True
drive_033,1,5,0.98936,truck,truck,True
drive_033,2,4,0.989017,bus,bus,True
drive_033,3,9,0.910972,bus,bus,True
drive_033,4,6,0.878723,car,car,True
drive_033,5,7,0.922005,car,car,True
drive_033,6,12,0.968029,car,car,True
drive_033,7,11,0.912679,car,car,True
drive_033,8,10,0.921986,car,car,True
drive_033,9,20,0.904311,car,car,True
drive_033,10,19,0.903867,car,car,True
drive_033,11,18,0.919213,car,car,True
drive_033,12,13,0.957557,car,car,True
drive_033,13,14,0.960796,car,car,True
drive_033,14,15,0.837675,car,car,True
drive_033,15,16,0.694741,car,car,True
drive_033,16,17,0.891718,car,car,True
drive_033,17,3,0.940998,car,car,True
drive_033,18,2,0.955444,car,car,True
drive_033,19,21,0.873858,car,car,True
drive_033,20,23,0.813522,car,car,True
drive_033,21,22,0.924144,car,car,True
drive_033,22,25,0.906536,car,car,True
drive_033,23,26,0.76505,car,car,True
drive_033,24,29,0.784464,car,car,True
drive_033,25,24,0.879221,car,car,True
drive_033,26,27,0.865152,car,car,True
drive_033,27,28,0.839097,car,car,True
drive_033,28,31,0.456423,car,car,True
drive_033,29,1,0.747971,car,car,True
drive_033,30,30,0.871631,car,car,True
drive_033,31,8,0.969758,car,car,True
drive_038,1,1,0.915495,truck,truck,True
drive_038,2,9,0.939807,truck,truck,True
drive_038,3,22,0.942979,bus,bus,True
drive_038,4,23,0.972179,bus,car,False
drive_038,5,27,0.906275,bus,bus,True
drive_038,6,29,0.810638,bus,car,False
drive_038,7,37,0.8903,bus,bus,True
drive_038,11,4,0.898317,car,car,True
drive_038,12,5,0.87017,car,car,True
drive_038,13,3,0.955113,car,car,True
drive_038,14,2,0.923362,car,car,True
drive_038,15,19,0.805756,car,car,True
drive_038,16,18,0.906384,van,car,False
drive_038,17,20,0.889733,car,car,True
drive_038,18,21,0.726562,car,car,True
drive_038,19,16,0.93132,car,car,True
drive_038,20,14,0.900953,car,car,True
drive_038,21,12,0.959166,car,car,True
drive_038,22,13,0.904647,car,car,True
drive_038,23,15,0.923426,car,car,True
drive_038,24,17,0.620887,car,car,True
drive_038,25,11,0.880478,car,car,True
drive_038,26,10,0.903858,car,car,True
drive_038,27,6,0.975337,car,car,True
drive_038,28,7,0.881045,car,car,True
drive_038,29,36,0.859887,car,car,True
drive_038,30,28,0.902018,car,car,True
drive_038,31,26,0.883178,car,car,True
drive_038,32,25,0.936959,car,car,True
drive_038,33,31,0.768164,car,car,True
drive_038,34,30,0.83086,car,car,True
drive_038,35,32,0.761022,car,car,True
drive_038,36,24,0.809666,van,van,True
drive_038,37,8,0.923473,van,van,True
drive_008,1,1,0.943711,car,car,True
drive_008,2,22,0.821722,car,car,True
drive_008,3,11,0.791512,truck,truck,True
drive_008,4,10,0.987775,bus,bus,True
drive_008,5,6,0.984603,van,van,True
drive_008,6,4,0.84518,car,car,True
drive_008,8,25,0.893206,car,car,True
drive_008,10,15,0.963882,bus,bus,True
drive_008,11,5,0.977181,van,van,True
drive_008,12,7,0.913387,van,van,True
drive_008,13,17,0.914385,bus,bus,True
drive_008,15,16,0.920903,car,car,True
drive_008,16,2,0.977161,car,car,True
drive_008,17,8,0.937285,car,car,True
drive_008,18,3,0.97455,car,car,True
drive_008,20,9,0.884989,car,car,True
drive_008,21,23,0.924143,car,car,True
drive_008,22,24,0.838946,car,car,True
drive_008,23,13,0.875235,car,car,True
drive_008,25,12,0.938106,car,car,True
drive_008,27,21,0.974972,car,car,True
drive_008,28,14,0.853872,car,car,True
drive_008,29,19,0.839847,car,car,True
drive_008,30,20,0.91517,car,car,True
drive_008,31,18,0.866757,car,car,True
